VAREKARTOTEK;;;;;;;;;;;;;;;;;;;;;;;;;;;
"* Sikkerhetsmerking brukt i kjemikalie-/medie og gasslisten:

O: Oksyderende	F: Meget brannfarlig	T/T+:Giftig		im: ikke merkepliktig	

Xn: Helseskadelig	Xi: Irriterende		C: Etsende		N: miljøskadelig";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
HMS;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Subitems;1.Bestill antall;2.Velg prioritet;3.Klikk her;Best.nr.;Leverandør;Valg leverandør;Produsent;Pris inkl. rabatt;% rabatt;Pris-sjekk Sign.;Prisavtale;Vurdering pris;Varetelling;Avd.;Kategori;Forpakning;Enhet per pk;Fastbestilling;Kartotek ID;Plassering;Link /vedlegg;Kommentar;Merking/Sertifikat;Sikkerhet*;EK ref.;Last Updated
Munnbind 3-lags m/ørestrikk type II;;;Velg prioritet;Bestill;402414;NorEngros;;Annet;45,04;;;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;1;50;Nei;1832874541;;;2025 pris;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Øyeflaskestasjon;;1;Velg prioritet;Bestill;118-1701;VWR Avantor;;Plum;371;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;Inneholder 1flaske;;Nei;1832874210;;;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Øyevaskløsning;;1;Velg prioritet;Bestill;118-1700;VWR Avantor;;Saint-gobain;182;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;500ml;;Nei;1832874094;;;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Branngel kompress;;;Velg prioritet;Bestill;118-0224;VWR Avantor;;Annet;300;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;10x10cm;;Nei;1832874387;;;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Veggholder øyevaskflaske;;;Velg prioritet;Bestill;118-0001;VWR Avantor;;Cederroth;235;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;500 ml;;Nei;1832874143;;;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Vernebriller;;;Velg prioritet;Bestill;111-1592;VWR Avantor;;3M;133;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;Secure fit;;Nei;1832874269;;;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Ørepropper;;;Velg prioritet;Bestill;111-1021;VWR Avantor;;3M;770;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;uten snor;;Nei;1832874322;;;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
Vernebriller 3700;;;Velg prioritet;Bestill;111-2520;VWR Avantor;;3M;269,5;;25.06.25 ILK;Ingen avtale;Ikke vurdert;Nei;Felles;HMS;Secure fit;;Nei;6773014421;;https://no.vwr.com/store/product/33917363/safety-spectacles-3700-series-securefittm;;;;ingen;Ingrid Lea Karlskås Aug 14, 2025 8:58 AM
